,unique_values,counts
140,1134386456955445250,10
141,204287100,10
142,20612334,10
143,2885635959,10
144,71832286,10
145,25663732,10
146,170280254,10
147,887783395635417088,10
148,810261879985762304,10
149,319076296,10
150,19107009,10
151,98360137,10
152,3323641727,10
153,2867624783,10
154,1222832792498769922,10
155,114137209,10
156,3130743677,9
157,746199836953706497,9
158,464649461,9
159,579229967,9
160,1125443593085358082,9
161,826912052,9
162,47082321,9
163,327814903,9
164,739139247047880705,9
165,4043656619,9
166,1230070815800119297,9
167,2717296666,9
168,486896531,9
169,383999819,9
170,770030887194984449,9
171,1288060684199133184,9
172,354556274,9
173,19591948,9
174,115494227,9
175,2473752954,9
176,303880706,9
177,1064712810,9
178,17758382,9
179,700444017864155136,9
180,1436980057,9
181,22703789,9
182,1242922647928950784,9
183,547674180,9
184,2939716115,9
185,2680205410,9
186,817142082666106880,9
187,456273040,9
188,705539492015427584,9
189,23231925,9
190,18839582,9
191,30201760,9
192,2583099904,9
193,46713001,9
194,23691974,9
195,208733448,9
196,21488562,9
197,137493302,9
198,2207006636,9
199,2805043263,8
200,64748249,8
201,219700151,8
202,2493459529,8
203,1193632598750367749,8
204,514828336,8
205,1200118491648540672,8
206,2225258196,8
207,489435576,8
208,1067098202179072002,8
209,311585350,8
210,946536834,8
211,543455114,8
212,2804537249,8
213,19483285,8
214,1541014556,8
215,23294336,8
216,1004500991721594880,8
217,41594419,8
218,47390635,8
219,1256977590566428673,8
220,3023249458,8
221,411482348,8
222,420209671,8
223,20176196,8
224,58806549,8
225,429051707,8
226,20531745,8
227,386475720,8
228,40675025,8
229,23829152,8
230,272834461,8
231,20438624,8
232,432585401,8
233,56407023,8
234,20476313,8
235,123933889,8
236,1102280676,8
237,4611947128,8
238,112251572,8
239,20184619,8
240,62595328,8
241,708813,8
242,998915642609807360,8
243,193459739,7
244,574424391,7
245,68164290,7
246,59226205,7
247,719658584,7
248,16432948,7
249,117085616,7
250,15413101,7
251,20013355,7
252,598315271,7
253,1043461120076533762,7
254,3869591295,7
255,4832827773,7
256,34998532,7
257,389577053,7
258,24963373,7
259,75764435,7
260,864858102973202433,7
261,2189697473,7
262,238609684,7
263,20500261,7
264,917781260176691200,7
265,53855114,7
266,167408054,7
267,398809618,7
268,22374019,7
269,244084093,7
270,178630347,7
271,14662121,7
272,391692889,7
273,22845496,7
274,217872265,7
275,309908788,7
276,882693863747538949,7
277,572628941,7
278,1175054021465391105,7
279,97595006,7
280,2296880117,7
281,246547192,7
282,1193608101871673344,7
283,301024617,7
284,36634949,7
285,1325691512,7
286,333522412,7
287,348523410,7
288,20712281,7
289,722491561452376069,7
290,1226243068027899905,7
291,1127957201920954369,7
292,55631439,7
293,134688294,7
294,55260186,7
295,368885437,7
296,302713731,7
297,16288901,7
298,15340427,7
299,29056724,7
300,150978926,7
301,21191528,7
302,2719883930,7
303,350265894,7
304,94435011,7
305,259382365,7
306,105319446,7
307,56048060,7
308,958798628558077952,7
309,20329600,7
310,41337021,7
311,326171941,7
312,783962860628180992,7
313,2759249945,7
314,319360364,7
315,1095999942,7
316,1172446083697348611,7
317,183334937,7
318,29471238,7
319,33289415,7
320,114032479,6
321,74150100,6
322,234446095,6
323,482272146,6
324,341718564,6
325,3025521939,6
326,622872193,6
327,2234112997,6
328,2237933611,6
329,14508711,6
330,318473552,6
331,20247275,6
332,2611636745,6
333,1239123625904689152,6
334,451749699,6
335,609219220,6
336,965866495,6
337,486469051,6
338,524749622,6
339,860593940768190465,6
340,1046491795654430720,6
341,765200329780654081,6
342,2796071046,6
343,1234537451722547200,6
344,2394932792,6
345,230819862,6
346,824637752574488576,6
347,1023632570997780480,6
348,144105198,6
349,610168949,6
350,2450460074,6
351,1421664565,6
352,1318208169978531845,6
353,175877739,6
354,184890201,6
355,2960249583,6
356,592066202,6
357,582132896,6
358,2212479606,6
359,916274581257834496,6
360,51015827,6
361,304463707,6
362,422072157,6
363,2401258338,6
364,618647631,6
365,165916257,6
366,233180256,6
367,401462663,6
368,70710835,6
369,71296802,6
370,20087804,6
371,19994455,6
372,315722844,6
373,22990570,6
374,352613359,6
375,1190403423407104000,6
376,574633420,6
377,133297270,6
378,1119419749,6
379,144458505,6
380,2728878058,6
381,1400072550,6
382,45107178,6
383,2513023153,6
384,441193606,6
385,1188239588155899911,6
386,264142762,6
387,237895161,6
388,128989290,6
389,19291485,6
390,187333137,6
391,34220004,6
392,1090698467989696513,6
393,568249574,6
394,227347444,6
395,106796756,6
396,773251418,6
397,504584963,6
398,841907289556676612,6
399,19420301,6
400,1260492863147855873,6
401,824279099166380032,6
402,1441268942,6
403,53362802,6
404,68115226,6
405,1711246922,6
406,42701045,6
407,20063138,6
408,1289202854046179330,6
409,177158062,6
410,1043590353436196864,6
411,268144691,6
412,20071950,6
413,1432917499,6
414,17446633,6
415,243680544,6
416,14341032,6
417,540238108,6
418,406516268,6
419,323174005,6
420,16781292,6
421,940842751,6
422,341140317,6
423,20980415,6
424,2991702839,6
425,705994686,6
426,2155212734,6
427,1160590523842871297,6
428,459502755,6
429,1391486294,6
430,20773591,6
431,229102544,6
432,1966665852,6
433,250828129,6
